No BFECC...
Using 10 tracers...
Refresh rate : 50
Reynold's number : 10000.0
0.000812182741117 0
0.00107558376826 0
0.00133898479541 0
0.00160238582256 0
0.0018657868497 0
0.00212918787685 0
0.00239258890399 0
0.00265598993114 0
0.00291939095829 0
0.00318279198543 0
0.00344619301258 0
0.00370959403973 0
0.00397299506687 0
0.00423639609402 0
0.00449979712116 0
0.00476319814831 0
0.00502659917546 0
0.0052900002026 0
0.00555340122975 0
0.0058168022569 0
0.00608020328404 0
0.00634360431119 0
0.00660700533833 0
0.00687040636548 0
0.00713380739263 0
0.00739720841977 0
0.00766060944692 0
0.00792401047407 0
0.00818741150121 0
0.00845081252836 0
0.0087142135555 0
0.00897761458265 0
0.0092410156098 0
0.00950441663694 0
0.00976781766409 0
0.0100312186912 0
0.0102946197184 0
0.0105580207455 0
0.0108214217727 0
0.0110848227998 0
0.011348223827 0
0.0116116248541 0
0.0118750258813 0
0.0121384269084 0
0.0124018279356 0
0.0126652289627 0
0.0129286299898 0
0.013192031017 0
0.0134554320441 0
0.0137188330713 0
0.0139822340984 0
0.0142456351256 -4.54512726824e-07
0.0145090361527 -5.12678306195e-07
0.0147724371799 -1.80869631541e-07
0.015035838207 5.36139481631e-07
0.0152992392342 1.63351067342e-06
0.0155626402613 3.10768914463e-06
0.0158260412885 4.95440055727e-06
0.0160894423156 7.17016818647e-06
0.0163528433427 9.75328557732e-06
0.0166162443699 1.27029171723e-05
0.016879645397 1.60191207015e-05
0.0171430464242 1.97013542522e-05
0.0174064474513 2.37503341699e-05
0.0176698484785 2.81696771545e-05
0.0179332495056 3.29635596812e-05
0.0181966505328 3.8135949632e-05
0.0184600515599 4.36935353578e-05
0.0187234525871 4.96404432141e-05
0.0189868536142 5.59805767758e-05
0.0192502546414 6.27159496728e-05
0.0195136556685 6.98467552197e-05
0.0197770566956 7.73746386742e-05
0.0200404577228 8.53024150726e-05
0.0203038587499 9.36340176376e-05
0.0205672597771 0.000102373554523
0.0208306608042 0.000111519924676
0.0210940618314 0.000121071280922
0.0213574628585 0.000131030882731
0.0216208638857 0.000141399833875
0.0218842649128 0.000152179016988
0.02214766594 0.00016336485471
0.0224110669671 0.000174965691219
0.0226744679943 0.000186981169181
0.0229378690214 0.000199406330664
0.0232012700485 0.000212241255985
0.0234646710757 0.000225488745781
0.0237280721028 0.000239149498993
0.02399147313 0.000253200388071
0.0242548741571 0.000267635209113
0.0245182751843 0.000282425355913
0.0247816762114 0.000297542970062
0.0250450772386 0.00031294777555
0.0253084782657 0.000328627910972
0.0255718792929 0.000344528009204
0.02583528032 0.000360605242368
0.0260986813472 0.000376837843967
0.0263620823743 0.0003932175158
0.0266254834014 0.000409721770396
0.0268888844286 0.000426371320325
0.0271522854557 0.000443184381914
0.0274156864829 0.00046017441948
0.02767908751 0.000477345947253
0.0279424885372 0.000494704206511
0.0282058895643 0.000512237729031
0.0284692905915 0.000529936354726
0.0287326916186 0.000547768466469
0.0289960926458 0.000565718181624
0.0292594936729 0.000583769470366
0.0295228947001 0.000601889839718
0.0297862957272 0.000620060675324
0.0300496967544 0.000638253942383
0.0303130977815 0.000656449212112
0.0305764988086 0.0006746467151
0.0308398998358 0.000692826743236
0.0311033008629 0.000710965743249
0.0313667018901 0.000729056193513
0.0316301029172 0.000747080224922
0.0318935039444 0.000765014405277
0.0321569049715 0.000782823861164
0.0324203059987 0.0008004770157
0.0326837070258 0.000817945812254
0.032947108053 0.000835199379306
0.0332105090801 0.000852226646262
0.0334739101073 0.000869015966905
0.0337373111344 0.000885543924688
0.0340007121615 0.000901787680115
0.0342641131887 0.000917725749347
0.0345275142158 0.000933340630632
0.034790915243 0.00094862572358
0.0350543162701 0.000963572572166
0.0353177172973 0.000978190880739
0.0355811183244 0.000992480077986
0.0358445193516 0.00100592937405
0.0361079203787 0.00101960681585
0.0363713214059 0.0010329711988
0.036634722433 0.00104601462829
0.0368981234602 0.00105874913163
0.0371615244873 0.00107116943823
0.0374249255144 0.00108325558775
0.0376883265416 0.00109497990779
0.0379517275687 0.00110631750275
0.0382151285959 0.00111725793093
0.038478529623 0.00112777440892
0.0387419306502 0.0011378404802
0.0390053316773 0.00114743642439
0.0392687327045 0.00115654427833
0.0395321337316 0.00116515031661
0.0397955347588 0.0011732453571
0.0400589357859 0.001180824298
0.0403223368131 0.00118788540757
0.0405857378402 0.00119443252836
0.0408491388673 0.00120046974515
0.0411125398945 0.00120599746786
0.0413759409216 0.00121102107354
0.0416393419488 0.00121554412803
0.0419027429759 0.00121957127477
0.0421661440031 0.00122310837572
0.0424295450302 0.00122616081414
0.0426929460574 0.00122873286771
0.0429563470845 0.0012308301259
0.0432197481117 0.00123246006458
