1 0.0077918254 128.3396312297 16471.0609441671
2 0.006134862 163.0028519888 26569.9297564721
3 0.0050929816 196.348638498 38552.7878400043
4 0.0044277071 225.8505317728 51008.4627020674
5 0.0039480134 253.291946322 64156.8100716073
6 0.0035542427 281.3538900281 79160.0114339339
7 0.0032014976 312.3538227995 97564.9106174621
8 0.0028569918 350.0185052101 122512.9539895
9 0.0025101136 398.388338735 158713.26844
10 0.0021435205 466.5222445379 217643.004648645
13 0.0009536313 1048.6232874846 1099610.79905494
16 -0.0004000305 -2499.8092584541 6249046.32865256
19 -0.001862213 -536.9954948413 288364.161479864
22 -0.0032125608 -311.2781542839 96894.0893343717
25 -0.004358194 -229.4528422546 52648.6068187153
28 -0.0054545172 -183.3342816611 33611.4588322037
